year,country,gov_right1,gov_cent1,gov_left1,gov_party,elect,vturn,womenpar,realgdpgr,inflation,debt_hist,deficit,ttl_labf,labfopar,unemp,pop,pop15_64,pop65,elderly
1960,Australia,100,0,0,1,,95.5,0,,3.73,40.15,0.46,4215,,1.25,10275,6296.5,874.9,8.51
1961,Australia,100,0,0,1,9/12/1961,95.3,0,-0.64,2.29,38.62,-0.36,4286,,2.46,10508.2,6428.6,894.6,8.51
1962,Australia,100,0,0,1,,95.3,0,5.77,-0.32,38.75,-0.79,4382,,2.32,10700.5,6571.5,913.6,8.54
1963,Australia,100,0,0,1,30/11/1963,95.7,0,6.01,0.64,37.34,-0.51,4484,,1.87,10906.9,6710.9,933,8.55
1964,Australia,100,0,0,1,,95.7,0,6.26,2.87,35.31,-0.08,4610.8,67.24,1.45,11121.6,6857.3,948.1,8.52
1965,Australia,100,0,0,1,,95.7,0,4.99,3.41,53.99,-0.73,4745.95,67.66,1.36,11340.9,7014.6,966.3,8.52
1966,Australia,100,0,0,1,26/11/1966,95.1,0.8,2.93,3.29,52.51,-1.81,4930.63,68.54,1.69,11599.5,7193.52,986.27,8.5
1967,Australia,100,0,0,1,,95.1,0.8,7.19,3.48,49.96,-1.81,5100.53,69.45,1.82,11799.08,7344.23,999.6,8.47
1968,Australia,100,0,0,1,,95.1,0.8,5.3,2.52,48.69,-1.35,5222.05,69.55,1.65,12008.63,7508.21,1014.01,8.44
1969,Australia,100,0,0,1,25/10/1969,95,0,6.25,3.28,45.5,-0.15,5367.73,69.8,1.57,12263.01,7689.76,1026.69,8.37
1970,Australia,100,0,0,1,,95,0,6.95,3.44,43.21,-0.07,5562.05,70.78,1.49,12507.35,7857.98,1043.75,8.35
1971,Australia,100,0,0,1,,95,0,3.86,6.14,39.89,-0.49,5707.93,69.36,1.74,13067.26,8229.62,1090.37,8.34
1972,Australia,96.45,0,3.55,2,2/12/1972,95.4,0,2.29,6.02,37.85,-0.89,5833.48,69.51,2.62,13303.66,8392.63,1118.31,8.41
1973,Australia,0,0,100,5,,95.4,0,4.36,9.09,33.78,-0.18,5974.3,69.93,1.89,13504.54,8543.09,1148.69,8.51
1974,Australia,0,0,100,5,18/05/1974,95.4,0.8,1.61,15.42,29.31,-1,6119.78,70.2,2.46,13722.57,8717.15,1181.16,8.61
1975,Australia,13.7,0,86.3,4,13/12/1975,95.4,0,2.42,15.16,29.19,-2.91,6237.83,70.39,4.77,13893,8861.8,1211.57,8.72
1976,Australia,100,0,0,1,,95.4,0,3.89,13.32,28.42,-3.02,6313.03,70.2,4.95,14033.08,8993.16,1252.83,8.93
1977,Australia,100,0,0,1,10/12/1977,95,0,1.48,12.31,27.4,-3.51,6428.1,70.32,5.91,14192.23,9141.01,1287.58,9.07
1978,Australia,100,0,0,1,,95,0,2.01,8,28.55,-4.18,6466.35,69.61,6.5,14359.25,9289.38,1326.81,9.24
1979,Australia,100,0,0,1,,95,0,4.62,9.12,29.19,-2.88,6589.04,69.89,6.12,14515.73,9427.57,1369.73,9.44
1980,Australia,100,0,0,1,18/10/1980,94.4,2.4,2.73,10.14,27.15,-2.28,6764.88,70.68,6.19,14695.36,9571.09,1413.28,9.62
1981,Australia,100,0,0,1,,94.4,2.4,4.18,9.49,24.09,-2.69,6881.34,70.63,5.88,14923.26,9742.72,1455,9.75
1982,Australia,100,0,0,1,,94.4,2.4,-0.35,11.35,22.18,-3.74,6980.82,70.23,7.05,15184.25,9940.49,1498.77,9.87
1983,Australia,18.9,0,81.1,4,5/3/1983,94.6,4.8,-0.16,10.04,24.09,-4.92,7068.41,69.94,10.35,15393.47,10106.71,1535.76,9.98
1984,Australia,0,0,100,5,1/12/1984,94.2,5.4,6.52,3.96,26,-4.87,7205.07,70.16,8.92,15579.39,10269.8,1573.79,10.1
1985,Australia,0,0,100,5,,94.2,5.4,5.11,6.73,28.04,-4.89,7369.29,70.58,8.26,15788.31,10441.74,1621.03,10.27
1986,Australia,0,0,100,5,,94.2,5.4,1.94,9.05,29.82,-4.13,7656.61,71.98,8.08,16018.35,10636.72,1682.11,10.5
1987,Australia,0,0,100,5,11/7/1987,93.8,6.1,5.26,8.53,28.17,-2.38,7825.6,72.21,8.11,16263.87,10837.24,1739.29,10.69
1988,Australia,0,0,100,5,,93.8,6.1,4.53,7.22,31.61,-0.72,8043.46,72.85,7.23,16532.16,11041.75,1791.38,10.84
1989,Australia,0,0,100,5,,93.8,6.1,4.23,7.53,25.04,0.61,8296.84,73.8,6.17,16814.42,11243,1846.5,10.98
1990,Australia,0,0,100,5,24/03/1990,95.3,6.8,1.38,7.33,24.94,-0.32,8511.62,74.55,6.93,17065.13,11416.75,1893.38,11.1
1991,Australia,0,0,100,5,,95.3,6.8,-1.32,3.18,30.9,-2.89,8551.16,74.05,9.58,17284.04,11547.79,1950.72,11.29
1992,Australia,0,0,100,5,,95.3,6.8,2.98,1.01,35.04,-4.46,8618.93,73.89,10.73,17479,11664,2002,11.45
1993,Australia,0,0,100,5,13/03/1993,95.8,8.8,4.18,1.75,40.61,-2.8,8650.14,73.61,10.87,17635,11751,2053,11.64
1994,Australia,0,0,100,5,,95.8,8.8,4.6,1.97,40.41,-2.41,8809.63,74.31,9.72,17805,11855,2100,11.79
1995,Australia,0,0,100,5,,95.8,9.5,3.54,4.63,41.86,-1.68,9003.52,75.12,8.47,18005,11986,2143,11.9
1996,Australia,80.87,0,19.13,2,2/3/1996,95.8,15.5,3.93,2.62,39.45,-0.44,9127.64,75.2,8.51,18225,12138,2192,12.03
1997,Australia,100,0,0,1,,95.8,15.5,3.89,0.22,37.04,0.88,9187.74,74.83,8.36,18423,12278,2237,12.14
1998,Australia,100,0,0,1,3/10/1998,95,22.4,4.93,0.86,33.61,2.53,9281.54,74.77,7.68,18608,12413,2279,12.25
1999,Australia,100,0,0,1,,95,22.4,4.09,1.48,27.19,2.6,9366.43,74.57,6.87,18812,12561,2322,12.34
2000,Australia,100,0,0,1,,95,22.4,3.5,4.46,25.14,1.5,9549.38,75.07,6.28,19029,12721,2364,12.42
2001,Australia,100,0,0,1,10/11/2001,94.9,25.3,2.52,4.41,24.22,0.03,9716.56,75.35,6.74,19275,12895,2419,12.55
2002,Australia,100,0,0,1,,94.9,25.3,3.98,2.98,22.87,1.57,9865.53,75.51,6.37,19495,13065,2466,12.65
2003,Australia,100,0,0,1,,94.9,25.3,3.01,2.73,20.37,2.67,10038.74,75.82,5.93,19721,13240,2511,12.73
2004,Australia,100,0,0,1,9/10/2004,94.3,24.7,3.93,2.34,20.79,1.79,10155.41,75.79,5.39,19933,13400,2559,12.84
2005,Australia,100,0,0,1,,94.3,24.7,3.23,2.69,20.67,2.23,10455.08,76.98,5.03,20177,13582,2612,12.95
2006,Australia,100,0,0,1,,94.3,24.7,2.7,3.56,19.66,2.56,10683.72,77.5,4.78,20451,13785,2664,13.03
2007,Australia,92.05,0,7.95,2,24/11/2007,94.8,26.7,4.55,2.33,19.51,1.97,10964.12,78.07,4.38,20828,14044,2737,13.14
2008,Australia,0,0,100,5,,94.8,26.7,2.46,4.35,20.48,-0.29,11258.63,78.5,4.23,21249,14343,2805,13.2
2009,Australia,0,0,100,5,,94.8,27.3,1.82,1.77,26.4,-4.03,11498.82,78.53,5.56,21692,14643,2891,13.33
2010,Australia,0,0,100,5,21/08/2010,93.2,24.7,2.36,2.92,29.41,-4.61,11687.23,78.72,5.21,22032,14846,2987,13.56
2011,Australia,0,0,100,5,,93.2,24.7,2.58,3.3,33.96,-3.45,11877.2,79.08,5.08,22340,15019,3088,13.82
2012,Australia,0,0,100,5,,93.2,24.7,3.62,1.76,37.27,-3.04,12029.51,79.09,5.22,22728,15210,3218,14.16
2013,Australia,28.77,0,71.23,4,7/9/2013,93.2,26,2.04,2.45,38.2,-2.03,12193.21,79.09,5.66,23126,15417,3338,14.43
2014,Australia,100,0,0,1,,93.2,26,2.62,2.49,42.19,-2.26,12336.07,79.02,6.07,23491,15612,3456,14.71
1960,Austria,0,50,50,3,,94.2,5.5,,1.95,20.26,-0.5,3274,,2.6,7047.54,4632.57,861.46,12.22
1961,Austria,0,50,50,3,,94.2,5.5,5.31,3.54,18.32,1.71,3281,,2,7086.3,4617.11,879.73,12.41
1962,Austria,0,50,50,3,18/11/1962,93.8,5.5,2.4,4.38,17.74,1.14,3271,,2,7129.86,4615.14,898.85,12.61
1963,Austria,0,50,50,3,,93.8,5.5,4.08,2.71,17.86,-0.51,3258,,2.3,7175.81,4620.3,916.71,12.78
1964,Austria,0,50,50,3,,93.8,5.5,6.04,3.87,17.4,0.49,3250,,2.1,7223.8,4618.94,937.45,12.98
1965,Austria,0,50,50,3,,93.8,5.5,2.86,4.93,16.88,1.41,3228,,2,7270.89,4614.6,958.16,13.18
1966,Austria,0,85.21,14.79,2,6/3/1966,93.8,5.5,5.64,2.05,16.14,1.77,3192,,1.9,7322.07,4613.49,979.15,13.37
1967,Austria,0,100,0,1,,93.8,5.5,3.01,3.97,17.86,-0.57,3139,,2,7377,4615.09,1001.43,13.58
1968,Austria,0,100,0,1,,93.8,5.5,4.47,2.76,19.23,-0.85,3119,67.69,2.2,7415.4,4608.38,1020.28,13.76
1969,Austria,0,100,0,1,,93.8,5.5,6.28,3.08,19.23,-0.08,3038,66.07,2.2,7441.06,4597.53,1036.36,13.93
1970,Austria,0,30.41,64.24,4,1/3/1970,91.8,4.8,7.12,4.37,18.55,1.26,3013,65.54,1.5,7467.09,4596.77,1051.06,14.08
1971,Austria,0,0,91.03,5,10/10/1971,92.4,6,5.11,4.7,17.46,1.58,3011,65.31,1.3,7500.48,4610.44,1066.14,14.21
1972,Austria,0,0,85.71,5,,92.4,6,6.21,6.36,16.74,2.13,3028,65.27,1.2,7544.2,4639.37,1082.11,14.34
1973,Austria,0,0,85.71,5,,92.4,6,4.89,7.53,16.74,1.34,3043,65.09,1.1,7586.11,4675.15,1098,14.47
1974,Austria,0,0,85.71,5,,92.4,6,3.94,9.52,16.87,1.33,3129.81,66.69,1.3,7599.04,4692.91,1113.48,14.65
1975,Austria,0,0,85.71,5,5/10/1975,92.9,7.7,-0.36,8.45,22.92,-2.6,3078.31,65.62,1.7,7578.9,4691.11,1127.07,14.87
1976,Austria,0,0,85.71,5,,92.9,7.7,4.58,7.32,26.27,-3.94,3070.3,65.23,1.6,7565.53,4706.56,1137.87,15.04
1977,Austria,0,0,85.71,5,,92.9,7.7,5.08,5.49,28.58,-2.52,3111.36,65.63,1.7,7568.43,4740.53,1149.76,15.19
1978,Austria,0,0,85.71,5,,92.9,7.7,-0.21,3.57,32.25,-3.16,3149.41,66.01,1.6,7562.3,4771.36,1160.16,15.34
1979,Austria,0,0,94.95,5,6/5/1979,92.2,9.8,5.36,3.71,34.24,-2.91,3166.42,65.96,1.3,7549.42,4800.85,1166.51,15.45
1980,Austria,0,0,100,5,,92.2,9.8,1.73,6.33,35.84,-2.19,3187.63,65.79,1.7,7549.43,4845.1,1162.93,15.4
1981,Austria,0,0,100,5,,92.2,9.8,-0.14,6.8,37.6,-2.21,3233.86,65.82,2.8,7568.71,4913.28,1143.81,15.11
1982,Austria,0,0,100,5,,92.2,9.8,2.01,5.44,39.97,-3.83,3279.6,65.89,3.3,7574.14,4977.65,1116.16,14.74
1983,Austria,12.16,0,87.84,4,24/04/1983,92.6,9.3,2.97,3.34,44.23,-4.73,3274.05,65.07,3.4,7561.91,5031.47,1086.97,14.37
1984,Austria,20,0,80,4,,92.6,9.3,0.05,5.66,46.65,-3.09,3350.52,65.95,3.4,7561.43,5080.1,1071.03,14.16
1985,Austria,20,0,80,4,,92.6,9.3,2.5,3.19,48.84,-3.23,3347.63,65.55,3.7,7564.98,5107.37,1073.81,14.19
1986,Austria,19.32,0,80.68,4,23/11/1986,90.5,11.5,2.3,1.71,53.52,-4.33,3375.43,65.92,3.9,7569.79,5120.85,1086.13,14.35
1987,Austria,1.03,44.11,48.56,3,,90.5,11.5,1.36,1.4,57.73,-4.97,3416.69,66.65,3.7,7574.59,5126.01,1102.17,14.55
1988,Austria,0,46.67,46.67,3,,90.5,11.5,3.3,1.92,58.79,-3.68,3414.68,66.58,3.2,7585.32,5129.04,1118.31,14.74
1989,Austria,0,46.79,46.79,3,,90.5,11.5,3.89,2.57,57.62,-3.3,3440.73,66.83,2.8,7619.57,5148.39,1132.86,14.87
1990,Austria,0,46.71,46.71,3,7/10/1990,83.7,19.7,4.35,3.26,57.21,-2.73,3506.92,67.63,3.1,7677.85,5185.74,1146.61,14.93
1991,Austria,0,47.06,47.06,3,,83.7,19.7,3.44,3.34,57.5,-3.16,3568.43,68.19,3.4,7754.89,5233.25,1158.88,14.94
1992,Austria,0,43.75,50,3,,83.7,19.7,2.09,4.02,57.48,-2.17,3662.52,69.31,3.4,7840.71,5284.26,1169.34,14.91
1993,Austria,0,43.75,50,3,,83.7,19.7,0.53,3.63,61.94,-4.7,3707.49,69.7,4,7905.63,5319.52,1179.98,14.93
1994,Austria,0,43.75,50,3,9/10/1994,81.9,21.9,2.4,2.95,65.18,-5.22,3788.15,71.07,4.3,7936.12,5329.89,1191.27,15.01
1995,Austria,0,43.75,50,3,17/12/1995,86,23.5,2.67,2.24,69.5,-6.16,3808.89,71.46,4.2,7948.28,5329.99,1202.45,15.13
1996,Austria,0,43.03,50,3,,86,23.5,2.4,1.86,70.03,-4.37,3772.47,70.7,4.7,7959.02,5335.96,1212.23,15.23
1997,Austria,0,45.91,46.44,3,,86,26.2,2.46,1.31,65.51,-2.39,3780.14,70.69,4.7,7968.04,5347.24,1220.33,15.32
1998,Austria,0,46.15,46.15,3,,86,26.2,3.54,0.92,67.3,-2.72,3786.64,70.63,4.7,7976.79,5361.37,1226.96,15.38
1999,Austria,0,46.15,46.15,3,3/10/1999,80.4,26.8,3.42,0.57,70.67,-2.6,3810.83,70.79,4.2,7992.32,5383.26,1231.69,15.41
2000,Austria,45.36,49.64,4.29,2,,80.4,26.8,3.72,2.34,70.43,-2.05,3819.46,70.6,3.9,8011.57,5410.26,1235.84,15.43
2001,Austria,50,50,0,1,,80.4,26.8,1.27,2.65,71.56,-0.62,3848.24,70.66,4,8042.29,5446.2,1243.62,15.46
2002,Austria,50,50,0,1,24/11/2002,84.3,33.9,1.48,1.81,74.99,-1.34,3918.29,71.38,4.4,8082.12,5489.32,1249.83,15.46
2003,Austria,28.97,64.02,0,1,,84.3,33.9,0.85,1.36,73.67,-1.76,3963.12,71.66,4.8,8118.25,5530.39,1253.8,15.44
2004,Austria,25,66.67,0,1,,84.3,33.9,2.4,2.06,72.95,-4.79,3890.19,69.97,5.5,8169.44,5559.73,1283.46,15.71
2005,Austria,25,66.67,0,1,,84.3,33.9,2.37,2.3,80.38,-2.51,3971,71.25,5.6,8225.28,5573.12,1334.36,16.22
2006,Austria,25,66.67,0,1,1/10/2006,78.5,32.2,3.65,1.44,77.73,-2.49,4037.81,72.29,5.3,8267.95,5585.94,1377.85,16.66
2007,Austria,0.68,50.46,48.63,3,,78.5,32.8,3.5,2.17,74.62,-1.32,4124.04,73.69,4.9,8295.19,5596.45,1412.36,17.03
2008,Austria,0,50,50,3,28/09/2008,78.8,27.3,1.18,3.22,80.09,-1.45,4166.18,74.19,4.1,8321.54,5615.85,1436.49,17.26
2009,Austria,0,50,50,3,,78.8,27.9,-3.56,0.51,92.41,-5.32,4205.23,74.73,5.3,8341.48,5626.91,1461.94,17.53
2010,Austria,0,50,50,3,,78.8,27.9,1.77,1.81,96.17,-4.45,4220.2,74.77,4.8,8361.07,5644.19,1477.6,17.67
2011,Austria,0,50,50,3,,78.8,27.9,2.99,3.29,96.65,-2.56,4246.35,74.82,4.6,8388.53,5675.48,1483.9,17.69
2012,Austria,0,50,50,3,,78.8,27.9,0.74,2.49,102.58,-2.17,4293.48,75.41,4.9,8426.31,5693.44,1512.26,17.95
2013,Austria,0,50,50,3,29/09/2013,74.1,33.3,0.27,2,98.52,-1.31,4336.16,75.97,5.4,8468.57,5707.45,1542.25,18.21
2014,Austria,0,50,50,3,,74.1,32.2,0.48,1.61,106.83,-2.7,4357.67,,5.6,,,,
1960,Belgium,33.88,66.12,0,1,,93.6,4.2,,0.3,97.76,,3675,62.25,2.2,9153.49,5903.99,1095.43,11.97
1961,Belgium,10.93,60.75,28.32,2,26/03/1961,92.3,5.2,4.97,0.99,95.51,,3676,62.4,1.8,9183.95,5891.01,1111.31,12.1
1962,Belgium,0,58.82,41.18,3,,92.3,5.2,5.18,1.4,92.13,,3716,63.08,1.7,9220.58,5890.96,1133.3,12.29
1963,Belgium,0,58.82,41.18,3,,92.3,5.2,4.4,2.15,85.65,,3727,62.88,1.5,9289.77,5926.83,1151.41,12.39
1964,Belgium,0,58.82,41.18,3,,92.3,5.2,6.95,4.17,80.72,,3768,63.1,1.4,9378.11,5971.78,1171.83,12.5
1965,Belgium,0,59.33,40.67,3,23/05/1965,91.6,3.3,3.59,4.07,81.72,,3786,63.01,1.6,9463.67,6008.85,1195.79,12.64
1966,Belgium,28.97,62.48,8.55,2,,91.6,3.3,3.11,4.17,78.32,,3805,63.1,1.7,9527.81,6030.33,1220.21,12.81
1967,Belgium,36.84,63.16,0,1,,91.6,3.3,3.87,2.73,76.21,,3813,63.04,2.4,9580.99,6048.41,1245.03,12.99
1968,Belgium,17.01,61.06,21.93,2,31/03/1968,90,3.8,4.17,2.7,76.77,,3826,63.08,2.8,9618.76,6064.85,1264.51,13.15
1969,Belgium,0,59.26,40.74,3,,90,3.8,6.62,3.75,72.46,,3866,63.59,2.2,9646.03,6079.89,1280.52,13.28
1970,Belgium,0,59.26,40.74,3,,90,3.8,6.19,3.91,69.63,-4.26,3769,61.94,1.8,9655.55,6084.59,1293.14,13.39
1971,Belgium,0,59.26,40.74,3,7/11/1971,91.5,2.8,3.75,4.34,68.75,-5.27,3793,62.2,1.7,9673.16,6098.52,1305.07,13.49
1972,Belgium,0,52.99,47.01,3,,91.5,2.8,5.26,5.45,68.4,-7.04,3804,62.03,2.2,9711.11,6132.45,1321.62,13.61
1973,Belgium,16.94,41.71,41.35,3,,91.5,2.8,6.12,6.96,66.04,-5.9,3840,62.28,2.2,9741.72,6165.77,1338.47,13.74
1974,Belgium,25.72,61.5,12.78,2,10/3/1974,90.3,6.6,4.2,12.68,61.7,-4.56,3902,62.85,2.3,9772.42,6208.56,1353.01,13.85
1975,Belgium,28.57,71.43,0,1,,90.3,6.6,-1.33,12.77,63.45,-7.26,3925,62.71,4.2,9800.7,6258.8,1364.73,13.92
1976,Belgium,28.79,71.21,0,1,,90.3,6.6,5.65,9.07,64.14,-7.45,3962,62.84,5.5,9818.23,6304.99,1373.23,13.99
1977,Belgium,13.41,63.86,22.73,2,17/04/1977,95.1,7.1,0.63,7.1,67.87,-7.41,3980,62.69,6.3,9830.36,6348.45,1380.99,14.05
1978,Belgium,0,60.51,39.49,3,17/12/1978,94.8,7.5,2.84,4.47,71.78,-8.18,4008,62.76,6.8,9839.53,6385.92,1393.16,14.16
1979,Belgium,0,59.77,40.23,3,,94.8,7.5,2.34,4.47,75.02,-10,4056,63.14,7,9848.38,6423.89,1405.48,14.27
1980,Belgium,7.94,48.61,43.45,3,,94.8,7.5,4.48,6.65,83.87,-11.13,4070,62.9,7.4,9859.24,6471.03,1405.89,14.26
1981,Belgium,2.05,51.92,46.03,3,8/11/1981,94.6,5.7,-0.28,7.63,97.85,-16.95,4094,62.97,9.4,9858.98,6501.44,1401.14,14.21
1982,Belgium,50,50,0,1,,94.6,5.7,0.59,8.73,108.73,-13.06,4120,63.04,11,9856.3,6535.18,1389,14.09
1983,Belgium,50,50,0,1,,94.6,5.7,0.31,7.66,120.26,-15.26,4138,62.83,10.7,9855.52,6586.21,1362.03,13.82
1984,Belgium,50,50,0,1,,94.6,5.7,2.47,6.34,124.65,-10.66,4132,62.35,10.8,9855.37,6626.91,1348.39,13.68
1985,Belgium,49.69,50.31,0,1,13/10/1985,93.6,7.5,1.65,4.87,129.78,-10.45,4112,61.87,10.1,9858.31,6646.67,1362.98,13.83
1986,Belgium,46.67,53.33,0,1,,93.6,7.5,1.82,1.29,135.51,-10.31,4109,61.79,10,9861.82,6650.29,1388.81,14.08
1987,Belgium,46.08,53.92,0,1,13/12/1987,93.4,8.5,2.31,1.55,140.54,-8.12,4115,61.85,9.8,9870.23,6653.58,1409.93,14.28
1988,Belgium,19.13,54.39,26.49,2,,93.4,8.5,4.72,1.16,140.75,-7.62,4127,61.91,8.8,9901.66,6665.78,1434.34,14.49
1989,Belgium,0,52.94,47.06,3,,93.4,8.5,3.47,3.11,137.31,-7.66,4144,62.09,7.4,9937.7,6674.49,1462.33,14.71
1990,Belgium,0,52.94,47.06,3,,93.4,8.5,3.14,3.45,141.56,-6.83,4179,62.62,6.6,9967.38,6673.79,1487.37,14.92
1991,Belgium,0,51.49,48.51,3,24/11/1991,92.7,9.4,1.83,3.22,143.35,-7.35,4210,63.07,6.4,10004.49,6674.98,1513.23,15.13
1992,Belgium,0,46.74,53.26,3,,92.7,9.4,1.53,2.43,153.72,-8.07,4237.1,63.41,7.1,10045.16,6681.93,1537.89,15.31
1993,Belgium,0,46.67,53.33,3,,92.7,9.4,-0.96,2.75,158.36,-7.45,4278.3,63.92,8.6,10084.47,6693.53,1560.84,15.48
1994,Belgium,0,46.67,53.33,3,,92.7,9.4,3.23,2.38,155.07,-5.08,4291,64.02,9.8,10115.6,6702.67,1584.11,15.66
1995,Belgium,0,46.67,53.33,3,21/05/1995,91.1,12,2.38,1.47,152.13,-4.45,4318,64.41,9.7,10136.81,6703.82,1611.07,15.89
1996,Belgium,0,46.67,53.33,3,,91.1,12,1.59,2.08,149.25,-3.93,4328.9,64.58,9.5,10156.64,6703.18,1639.34,16.14
1997,Belgium,0,46.67,53.33,3,,91.1,12.7,3.71,1.63,143.34,-2.12,4347.8,64.83,9.2,10181.25,6706.15,1665.84,16.36
1998,Belgium,0,46.67,53.33,3,,91.1,12.7,1.98,0.95,137.8,-0.95,4358.6,64.97,9.3,10203.01,6708.71,1688.02,16.54
1999,Belgium,21.99,24.68,53.33,3,13/06/1999,90.6,23.3,3.56,1.12,126.43,-0.55,4421,65.26,8.5,10226.42,6715.13,1706.27,16.68
2000,Belgium,46.67,0,53.33,3,,90.6,23.3,3.64,2.54,120.35,-0.07,4442.7,66.1,6.9,10251.25,6723.9,1722.41,16.8
2001,Belgium,46.67,0,53.33,3,,90.6,23.3,0.81,2.47,118.94,0.17,4384.5,65,6.6,10286.57,6743.34,1738.06,16.9
2002,Belgium,46.67,0,53.33,3,,90.6,23.3,1.78,1.65,118.09,0.05,4437.9,65.5,7.5,10332.78,6774.42,1754.39,16.98
2003,Belgium,46.67,0,53.33,3,18/05/2003,91.6,35.3,0.77,1.59,114.55,-1.76,4469.7,65.7,8.2,10376.13,6804.81,1771.25,17.07
2004,Belgium,46.67,0,53.33,3,,91.6,34.7,3.63,2.1,110.2,-0.16,4552.5,66.6,8.4,10421.14,6835.18,1789.81,17.17
2005,Belgium,46.67,0,53.33,3,,91.6,34.7,2.1,2.78,107.79,-2.57,4658.8,67.7,8.5,10478.62,6878.88,1804.26,17.22
2006,Belgium,46.67,0,53.33,3,,91.6,34.7,2.5,1.79,99.91,0.21,4680.2,67.5,8.3,10547.96,6941.5,1809.54,17.16
2007,Belgium,46.55,1.08,52.37,3,10/6/2007,91.1,35.3,3.39,1.82,93.7,0.06,4766.3,68,7.5,10625.7,7011.71,1814.89,17.08
2008,Belgium,45.84,33.85,20.31,2,,91.1,35.3,0.75,4.49,101.14,-1.11,4812.56,,7,10709.97,7074.05,1828.25,17.07
2009,Belgium,43.6,36.4,20,2,,91.1,38,-2.28,-0.05,109.52,-5.39,4833.3,,7.9,10796.49,7124.47,1848.47,17.12
2010,Belgium,40,40,20,2,13/06/2010,89.2,39.3,2.7,2.19,107.77,-3.97,,,8.3,10920.27,7198.83,1871.67,17.14
2011,Belgium,39.89,38.79,21.32,2,,89.2,38,1.8,3.53,110.14,-4.11,,,7.2,11047.74,7267.07,1904.06,17.23
2012,Belgium,38.46,23.08,38.46,3,,89.2,38,0.16,2.84,120.17,-4.21,,,7.6,11128.25,7293.94,1942.29,17.45
2013,Belgium,38.46,23.08,38.46,3,,89.2,38,0,1.11,118.01,-3.03,,,8.4,11178.44,7301.75,1975.16,17.67
2014,Belgium,44.26,25.92,29.82,2,25/05/2014,89.4,39.3,1.3,0.34,129.59,-3.08,,,8.5,11227.28,7304.24,2013.88,17.94
1990,Bulgaria,6.74,0,86.52,4,17/06/1990,90.6,8.5,,,67.34,,,,,8718.3,5797.52,1148.62,13.17
1991,Bulgaria,38.46,0,37.87,3,13/10/1991,83.9,8.5,,,135.87,,,,,8632.3,5743.92,1174.58,13.61
1992,Bulgaria,99.45,0,0,1,,83.9,12.9,-7.25,,172.19,,,,,8540.1,5692.2,1198.32,14.03
1993,Bulgaria,0,0,0,,,83.9,12.9,-1.48,,292.3,,,,,8472.3,5657.09,1221.14,14.41
1994,Bulgaria,0,0,0,,18/12/1994,75.2,12.9,1.82,,173.91,,,,,8443.6,5650.14,1242.76,14.72
1995,Bulgaria,0,0,51.9,5,,75.2,13.3,2.86,,105.27,,3861.37,68.47,10,8405.14,5639.25,1262.09,15.02
1996,Bulgaria,0,0,55.56,5,,75.2,13.3,1.57,,142.62,,3943.87,70.08,9.5,8360.2,5627.56,1275.83,15.26
1997,Bulgaria,63.22,0,6.39,2,19/04/1997,58.9,10.8,-1.09,,97.3,0.8,3920.71,69.85,11.9,8311.24,5612.89,1286.65,15.48
1998,Bulgaria,100,0,0,1,,58.9,10.8,3.46,18.67,69.3,1.1,3830.31,68.48,10.9,8254.68,5593.03,1299.62,15.74
1999,Bulgaria,98.49,0.38,0,1,,58.9,10.8,-6.69,2.57,76.1,0.1,3720.04,66.73,12.3,8208.81,5574.85,1314.94,16.02
2000,Bulgaria,50,12.5,0,1,,58.9,10.8,5.01,10.32,71.2,-0.5,3799.98,68.36,16.4,8167.73,5558.47,1321.4,16.18
2001,Bulgaria,66.87,6.99,5.19,2,17/06/2001,66.6,26.3,4.25,7.36,64.7,1.1,3879.73,71.12,19.5,7940.25,5455.19,1325.05,16.69
2002,Bulgaria,88.62,0,11.38,2,,66.6,26.3,6.02,5.81,51.1,-1.2,3836.11,71.74,18.2,7868.09,5347.53,1337.46,17
2003,Bulgaria,88.89,0,11.11,2,,66.6,26.3,5.08,2.35,43.5,-0.4,3770.39,70.78,13.7,7821.23,5327.04,1337.48,17.1
2004,Bulgaria,88.89,0,11.11,2,,66.6,26.3,6.56,6.15,35.8,1.8,3807.39,71.74,12.1,7779.5,5307.49,1337.29,17.19
2005,Bulgaria,72.37,0,25.53,2,25/06/2005,55.8,22.1,7.24,6.04,26.6,1,3833.26,72.55,10.1,7738.89,5283.69,1336.64,17.27
2006,Bulgaria,44.44,0,50,3,,55.8,22.1,6.75,7.42,20.9,1.8,3921.04,74.65,9,7699.02,5252.71,1335.32,17.34
2007,Bulgaria,44.44,0,50,3,,55.8,21.7,7.68,7.57,16.2,1.1,3968.74,76.11,6.9,7659.76,5214.45,1336.21,17.44
2008,Bulgaria,42.83,0,51.81,3,,55.8,21.7,5.65,11.95,13,1.6,4016.65,77.69,5.6,7623.4,5170.34,1339.82,17.58
2009,Bulgaria,64.62,0,29.85,2,5/7/2009,61,20.8,-4.22,2.47,13.7,-4.1,3989.3,77.88,6.8,7585.13,5122.14,1345.26,17.74
2010,Bulgaria,90.14,0,0,1,,61,20.8,0.05,3.04,15.5,-3.2,3955.89,78.1,10.3,7534.29,5065.48,1354.46,17.98
2011,Bulgaria,88.24,0,0,1,,61,20.8,1.58,3.39,15.3,-2,3900.55,78.01,11.3,7348.33,5000.02,1370.77,18.65
